                     ~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\DIBYARANJAN PRUSTY17\Downloads\docmind_pycharm\DocMind — AI-Powered Document Q&A Chatbot\src\query.py", line 138, in _generate_answer
    return _call_openai(context, question)
  File "C:\Users\DIBYARANJAN PRUSTY17\Downloads\docmind_pycharm\DocMind — AI-Powered Document Q&A Chatbot\src\query.py", line 78, in _call_openai
    raise ValueError(
    ...<2 lines>...
    )
ValueError: OPENAI_API_KEY environment variable is not set. Export it before running DocMind.
2026-03-22 13:35:22 | INFO     | src.pipeline | Ingesting directory: 'data\documents'
2026-03-22 13:35:22 | INFO     | src.ingest | Found 1 document(s) in 'data\documents'
2026-03-22 13:35:22 | INFO     | src.ingest | Loaded text file 'ai_overview.txt' — 6,963 characters
2026-03-22 13:35:22 | INFO     | src.ingest | Chunked 'ai_overview.txt' → 18 chunk(s) (size=512, overlap=64)
2026-03-22 13:35:22 | INFO     | src.ingest | Total chunks ready for embedding: 18
2026-03-22 13:35:22 | INFO     | src.pipeline | Embedding 18 chunk(s)…
2026-03-22 13:35:44 | INFO     | src.embedding | Loading embedding model: 'sentence-transformers/all-MiniLM-L6-v2'
2026-03-22 13:35:48 | INFO     | src.embedding | Model loaded — output dimension: 384
2026-03-22 13:35:48 | DEBUG    | src.embedding | Embedding 18 text(s) in batches of 64
2026-03-22 13:35:50 | DEBUG    | src.embedding | Embedding complete — dim=384
2026-03-22 13:35:50 | INFO     | src.pipeline | Storing vectors in Endee…
2026-03-22 13:35:50 | INFO     | src.vectorstore | Connecting to Endee at http://localhost:8080/api/v1
2026-03-22 13:35:50 | INFO     | src.vectorstore | Endee client initialised
2026-03-22 13:35:50 | INFO     | src.vectorstore | Index 'docmind_index' already exists, reusing it
2026-03-22 13:35:50 | INFO     | src.vectorstore | Upsert complete — 18 vectors stored in Endee
2026-03-22 13:35:50 | INFO     | src.pipeline | Ingestion complete — 1 doc(s), 18 chunks, 18 vectors
2026-03-22 13:36:13 | INFO     | src.query | Processing question: 'What is Artificial Intelligence?'
2026-03-22 13:36:13 | DEBUG    | src.embedding | Embedding 1 text(s) in batches of 64
2026-03-22 13:36:13 | DEBUG    | src.embedding | Embedding complete — dim=384
2026-03-22 13:36:15 | DEBUG    | src.query | Calling OpenAI model: gpt-4o-mini
2026-03-22 14:36:48 | INFO     | src.pipeline | Ingesting directory: 'data\documents'
2026-03-22 14:36:48 | INFO     | src.ingest | Found 1 document(s) in 'data\documents'
2026-03-22 14:36:48 | INFO     | src.ingest | Loaded text file 'ai_overview.txt' — 6,963 characters
2026-03-22 14:36:48 | INFO     | src.ingest | Chunked 'ai_overview.txt' → 18 chunk(s) (size=512, overlap=64)
2026-03-22 14:36:48 | INFO     | src.ingest | Total chunks ready for embedding: 18
2026-03-22 14:36:48 | INFO     | src.pipeline | Embedding 18 chunk(s)…
2026-03-22 14:37:14 | INFO     | src.embedding | Loading embedding model: 'sentence-transformers/all-MiniLM-L6-v2'
2026-03-22 14:37:18 | INFO     | src.embedding | Model loaded — output dimension: 384
2026-03-22 14:37:18 | DEBUG    | src.embedding | Embedding 18 text(s) in batches of 64
2026-03-22 14:37:20 | DEBUG    | src.embedding | Embedding complete — dim=384
2026-03-22 14:37:20 | INFO     | src.pipeline | Storing vectors in Endee…
2026-03-22 14:37:20 | INFO     | src.vectorstore | Connecting to Endee at http://localhost:8080/api/v1
2026-03-22 14:37:20 | INFO     | src.vectorstore | Endee client initialised
2026-03-22 14:37:20 | INFO     | src.vectorstore | Index 'docmind_index' already exists, reusing it
2026-03-22 14:37:20 | INFO     | src.vectorstore | Upsert complete — 18 vectors stored in Endee
2026-03-22 14:37:20 | INFO     | src.pipeline | Ingestion complete — 1 doc(s), 18 chunks, 18 vectors
2026-03-22 14:37:43 | INFO     | src.query | Processing question: 'What is Artificial Intelligence?'
2026-03-22 14:37:43 | DEBUG    | src.embedding | Embedding 1 text(s) in batches of 64
2026-03-22 14:37:43 | DEBUG    | src.embedding | Embedding complete — dim=384
2026-03-22 14:37:45 | DEBUG    | src.query | Calling OpenAI model: gpt-4o-mini
2026-03-22 14:46:13 | INFO     | src.pipeline | Ingesting directory: 'data\documents'
2026-03-22 14:46:13 | INFO     | src.ingest | Found 1 document(s) in 'data\documents'
2026-03-22 14:46:13 | INFO     | src.ingest | Loaded text file 'ai_overview.txt' — 6,963 characters
2026-03-22 14:46:13 | INFO     | src.ingest | Chunked 'ai_overview.txt' → 18 chunk(s) (size=512, overlap=64)
2026-03-22 14:46:13 | INFO     | src.ingest | Total chunks ready for embedding: 18
2026-03-22 14:46:13 | INFO     | src.pipeline | Embedding 18 chunk(s)…
2026-03-22 14:46:36 | INFO     | src.embedding | Loading embedding model: 'sentence-transformers/all-MiniLM-L6-v2'
2026-03-22 14:46:41 | INFO     | src.embedding | Model loaded — output dimension: 384
2026-03-22 14:46:41 | DEBUG    | src.embedding | Embedding 18 text(s) in batches of 64
2026-03-22 14:46:42 | DEBUG    | src.embedding | Embedding complete — dim=384
2026-03-22 14:46:42 | INFO     | src.pipeline | Storing vectors in Endee…
2026-03-22 14:46:42 | INFO     | src.vectorstore | Connecting to Endee at http://localhost:8080/api/v1
2026-03-22 14:46:42 | INFO     | src.vectorstore | Endee client initialised
2026-03-22 14:46:42 | INFO     | src.vectorstore | Index 'docmind_index' already exists, reusing it
2026-03-22 14:46:42 | INFO     | src.vectorstore | Upsert complete — 18 vectors stored in Endee
2026-03-22 14:46:42 | INFO     | src.pipeline | Ingestion complete — 1 doc(s), 18 chunks, 18 vectors
2026-03-22 14:47:00 | INFO     | src.query | Processing question: 'What is Artificial Intelligence?'
2026-03-22 14:47:00 | DEBUG    | src.embedding | Embedding 1 text(s) in batches of 64
2026-03-22 14:47:00 | DEBUG    | src.embedding | Embedding complete — dim=384
2026-03-22 14:49:56 | INFO     | src.pipeline | Ingesting directory: 'data\documents'
2026-03-22 14:49:56 | INFO     | src.ingest | Found 1 document(s) in 'data\documents'
2026-03-22 14:49:56 | INFO     | src.ingest | Loaded text file 'ai_overview.txt' — 6,963 characters
2026-03-22 14:49:56 | INFO     | src.ingest | Chunked 'ai_overview.txt' → 18 chunk(s) (size=512, overlap=64)
2026-03-22 14:49:56 | INFO     | src.ingest | Total chunks ready for embedding: 18
2026-03-22 14:49:56 | INFO     | src.pipeline | Embedding 18 chunk(s)…
2026-03-22 14:50:19 | INFO     | src.embedding | Loading embedding model: 'sentence-transformers/all-MiniLM-L6-v2'
2026-03-22 14:50:24 | INFO     | src.embedding | Model loaded — output dimension: 384
2026-03-22 14:50:24 | DEBUG    | src.embedding | Embedding 18 text(s) in batches of 64
